Model,Accuracy,Precision,Recall,F1,SMOTE Accuracy,SMOTE Precision,SMOTE Recall,SMOTE F1
SVM,79.08%,78.87%,76.71%,77.78%,78.76%,77.93%,77.40%,77.66%
Gradient Boosting,78.43%,78.17%,76.03%,77.08%,76.47%,75.00%,76.03%,75.51%
XGBoost,77.12%,76.03%,76.03%,76.03%,78.76%,77.93%,77.40%,77.66%
AdaBoost,75.82%,73.38%,77.40%,75.33%,73.86%,71.15%,76.03%,73.51%
Logistic Regression,73.86%,73.24%,71.23%,72.22%,73.53%,70.70%,76.03%,73.27%
Random Forest,73.53%,73.05%,70.55%,71.78%,72.22%,71.63%,69.18%,70.38%
Naive Bayes,72.88%,71.14%,72.60%,71.86%,72.55%,70.13%,73.97%,72.00%
Bagging Tree,71.57%,70.34%,69.86%,70.10%,72.88%,72.99%,68.49%,70.67%
Decision Tree,63.07%,60.25%,66.44%,63.19%,64.05%,61.84%,64.38%,63.09%
