Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),CV Mean (%),CV Std (%)
Gradient Boosting,64.71,61.6,64.71,62.64,63.45,2.02
XGBoost,64.05,61.96,64.05,62.47,63.2,1.88
SVM,62.42,56.28,62.42,57.93,64.51,2.76
AdaBoost,62.09,57.07,62.09,58.57,63.13,3.3
Random Forest,60.46,57.78,60.46,57.43,60.59,2.5
Logistic Regression,60.13,54.19,60.13,56.12,63.04,3.64
Naive Bayes,60.13,58.52,60.13,59.15,61.41,2.22
Bagging Tree,58.82,56.63,58.82,56.94,60.42,2.69
Decision Tree,56.86,56.17,56.86,56.43,51.68,3.19
