Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),CV Mean (%),CV Std (%)
XGBoost,63.4,62.05,63.4,62.67,75.72,3.77
Random Forest,62.75,61.82,62.75,61.98,74.35,4.5
SVM,62.42,61.92,62.42,61.95,69.08,4.12
Gradient Boosting,61.76,62.17,61.76,61.92,69.13,4.61
AdaBoost,57.19,59.5,57.19,58.18,58.6,4.28
Bagging Tree,57.19,57.85,57.19,57.26,72.51,3.15
Logistic Regression,56.54,60.96,56.54,57.86,57.16,3.78
Naive Bayes,53.92,57.25,53.92,55.23,56.7,2.44
Decision Tree,52.29,53.72,52.29,52.9,62.66,6.03
