Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),CV Mean (%),CV Std (%)
SVM,79.08,78.87,76.71,77.78,71.47,3.51
Gradient Boosting,78.43,78.17,76.03,77.08,75.31,2.41
XGBoost,77.12,76.03,76.03,76.03,72.85,2.99
AdaBoost,75.82,73.38,77.4,75.33,73.75,3.07
Logistic Regression,73.86,73.24,71.23,72.22,69.42,4.13
Random Forest,73.53,73.05,70.55,71.78,70.73,2.65
Naive Bayes,72.88,71.14,72.6,71.86,70.82,5.77
Bagging Tree,71.57,70.34,69.86,70.1,69.66,3.17
Decision Tree,63.07,60.25,66.44,63.19,61.65,3.34
