Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),CV Mean (%),CV Std (%)
Gradient Boosting,64.71,61.6,64.71,62.64,63.45,2.02
SVM,62.42,56.28,62.42,57.93,64.51,2.76
XGBoost,61.44,58.24,61.44,59.48,63.37,1.73
Random Forest,60.46,57.78,60.46,57.43,60.83,2.47
Logistic Regression,60.13,54.19,60.13,56.12,63.04,3.64
Naive Bayes,60.13,58.52,60.13,59.15,61.41,2.22
AdaBoost,59.15,56.76,59.15,57.51,61.82,2.27
Bagging Tree,59.15,56.9,59.15,57.22,60.26,2.42
Decision Tree,56.86,56.17,56.86,56.43,51.84,2.91
