iter	MultiClass
0	1.036290245
1	0.9816481769
2	0.9409097807
3	0.8974531295
4	0.855208894
5	0.8228704825
6	0.7973430286
7	0.7672178847
8	0.7444089404
9	0.7187613563
10	0.6948746062
11	0.6760278566
12	0.6566532513
13	0.6381747437
14	0.6229299869
15	0.6037094765
16	0.5914921822
17	0.5789467395
18	0.5657953631
19	0.5549151274
20	0.541272059
21	0.5315956794
22	0.5244549706
23	0.51378885
24	0.500042169
25	0.4907659092
26	0.4825697623
27	0.470644417
28	0.4638476755
29	0.4559986326
30	0.4479574212
31	0.441100643
32	0.4343083628
33	0.4281724634
34	0.4232570503
35	0.4133354589
36	0.4085772112
37	0.4053347438
38	0.4007557944
39	0.3954513912
40	0.3899920541
41	0.3848074301
42	0.3775961535
43	0.3733347633
44	0.3699597716
45	0.3639070588
46	0.3604580052
47	0.3562661513
48	0.3505617802
49	0.3465123324
50	0.3400797763
51	0.3349284097
52	0.3310627083
53	0.3260501617
54	0.3205427218
55	0.3184197573
56	0.3148902283
57	0.3092541087
58	0.3054420714
59	0.3021398303
60	0.298430017
61	0.2930886776
62	0.2892229951
63	0.286691825
64	0.2819590763
65	0.2796410513
66	0.2766072497
67	0.2735868861
68	0.2693397436
69	0.2651402404
70	0.2630463503
71	0.2605228456
72	0.2582642171
73	0.2559810981
74	0.2538666579
75	0.2507477131
76	0.2480266662
77	0.2453163773
78	0.242150011
79	0.2398072549
80	0.2368598701
81	0.2347067263
82	0.231758159
83	0.2295248682
84	0.2277076773
85	0.2252439855
86	0.2227457306
87	0.2211933281
88	0.2195178972
89	0.2174639111
90	0.2145421018
91	0.2123629504
92	0.2099146233
93	0.2082542981
94	0.2055582332
95	0.2037397101
96	0.201095607
97	0.1981456628
98	0.1959009732
99	0.1938198565
100	0.191367734
101	0.1896870035
102	0.1879670538
103	0.1848469654
104	0.1832640746
105	0.1822265662
106	0.180520737
107	0.1793649578
108	0.1778730849
109	0.1755945758
110	0.1738035664
111	0.171886114
112	0.1703779133
113	0.1692043372
114	0.1669707799
115	0.1653747158
116	0.1637734619
117	0.162201754
118	0.1612428735
119	0.1598109398
120	0.1581890337
121	0.1571132991
122	0.1560203222
123	0.1550008372
124	0.153455118
125	0.1523335256
126	0.1507347656
127	0.1496578377
128	0.1481225299
129	0.1462350047
130	0.1449570752
131	0.1434438314
132	0.141958148
133	0.1408477942
134	0.1398523921
135	0.1384060804
136	0.1378602408
137	0.1364878295
138	0.1356826367
139	0.1343811476
140	0.1334790113
141	0.1323356858
142	0.1317193333
143	0.1306894309
144	0.1295832242
145	0.1288019155
146	0.1279310822
147	0.1265170528
148	0.1250803296
149	0.1243259825
150	0.1230295192
151	0.1225096575
152	0.121813098
153	0.1210952334
154	0.1204128044
155	0.1193665282
156	0.1185647184
157	0.1175822402
158	0.1166628074
159	0.1160054412
160	0.1150802426
161	0.114116301
162	0.1136779532
163	0.1127901746
164	0.1117278781
165	0.1112076281
166	0.1103645709
167	0.1098633086
168	0.1090481531
169	0.1083976368
170	0.1073941815
171	0.1064810355
172	0.1054866249
173	0.1045712851
174	0.1036690668
175	0.1028999353
176	0.1014367101
177	0.1006553025
178	0.09977035746
179	0.09869756354
180	0.09816856146
181	0.09764907228
182	0.09738521911
183	0.09694718657
184	0.09638854537
185	0.09570190805
186	0.09527290635
187	0.0947951872
188	0.09408952931
189	0.09314302941
190	0.09247668132
191	0.09191139211
192	0.09147630127
193	0.0909264494
194	0.09063258632
195	0.09025913865
196	0.08968743952
197	0.08934288869
198	0.08872239353
199	0.08793382904
200	0.0871832841
201	0.08676546544
202	0.08629087164
203	0.08557651534
204	0.08510019314
205	0.08453027986
206	0.08411880776
207	0.08358084624
208	0.08334380214
209	0.08287323337
210	0.08256700697
211	0.08201197209
212	0.08172043859
213	0.08143566981
214	0.08085743088
215	0.08029942538
216	0.0800065976
217	0.07974293294
218	0.07915460984
219	0.07862296749
220	0.07808097923
221	0.07750763914
222	0.07709694182
223	0.07674495051
224	0.07625109187
225	0.07595832544
226	0.07562677147
227	0.07490933854
228	0.07466071916
229	0.07391651865
230	0.0734727419
231	0.07310143476
232	0.07275143228
233	0.07247355222
234	0.07207760878
235	0.07182310817
236	0.07146142798
237	0.07139509086
238	0.07107029923
239	0.07080122949
240	0.07056192616
241	0.07013978019
242	0.06987510956
243	0.06965256048
244	0.0690811648
245	0.06859148705
246	0.0682392207
247	0.06775822785
248	0.06731428408
249	0.06719625048
250	0.06695505555
251	0.0666654961
252	0.06632702824
253	0.06598424056
254	0.06548769495
255	0.06508079809
256	0.0647567195
257	0.0645593483
258	0.06427127577
259	0.06395897213
260	0.06355214262
261	0.06332507505
262	0.06278685303
263	0.06241100723
264	0.06200549317
265	0.06162035593
266	0.06116970592
267	0.06072012807
268	0.06049409857
269	0.06016348808
270	0.05981470879
271	0.05959627947
272	0.05925886728
273	0.05890559137
274	0.05858978609
275	0.05847979188
276	0.05822828368
277	0.05800695116
278	0.05784424286
279	0.05759331469
280	0.05722670098
281	0.05700088269
282	0.05673061277
283	0.05614054416
284	0.05579285289
285	0.05559920375
286	0.05521575217
287	0.05494925973
288	0.05476747143
289	0.05451230724
290	0.05422619065
291	0.0540817399
292	0.05384721053
293	0.05357740642
294	0.05345267761
295	0.05328876548
296	0.0530690595
297	0.0528248089
298	0.0523589699
299	0.05219524947
